quarter,location,Consumer Bankruptcies,Consumer Proposals,Corporate Bankruptcies,Corporate Proposals,Individual Business Bankruptcies,Individual Business Proposals
1987_Q1,AB,681,2,34,1,250,2
1987_Q1,BC,702,4,76,9,292,4
1987_Q1,CAN,6401,89,525,40,1585,17
1987_Q1,MB,277,3,6,1,68,1
1987_Q1,NB,71,2,3,0,17,1
1987_Q1,NL,85,0,7,0,11,0
1987_Q1,NS,270,1,10,0,56,1
1987_Q1,NT,0,0,0,0,0,0
1987_Q1,ON,2161,63,145,4,350,3
1987_Q1,PE,8,0,0,1,0,0
1987_Q1,QC,2003,12,235,24,455,5
1987_Q1,SK,143,2,9,0,86,0
1987_Q1,YT,0,0,0,0,0,0
1987_Q2,AB,681,3,26,1,228,0
1987_Q2,BC,722,4,41,4,302,4
1987_Q2,CAN,6092,72,468,37,1495,7
1987_Q2,MB,265,1,8,1,72,0
1987_Q2,NB,67,6,1,1,17,1
1987_Q2,NL,57,0,1,0,4,0
1987_Q2,NS,280,2,6,0,44,0
1987_Q2,NT,0,0,0,0,0,0
1987_Q2,ON,2036,49,115,9,309,0
1987_Q2,PE,9,0,0,0,3,0
1987_Q2,QC,1818,7,259,19,435,2
1987_Q2,SK,157,0,11,2,81,0
1987_Q2,YT,0,0,0,0,0,0
1987_Q3,AB,591,2,15,0,207,0
1987_Q3,BC,722,3,41,1,258,4
1987_Q3,CAN,5875,70,414,21,1349,9
1987_Q3,MB,253,4,3,0,61,1
1987_Q3,NB,35,4,1,0,10,1
1987_Q3,NL,52,1,3,1,10,0
1987_Q3,NS,195,2,5,0,40,0
1987_Q3,NT,0,0,0,0,0,0
1987_Q3,ON,1969,48,105,5,302,2
1987_Q3,PE,10,0,0,0,0,0
1987_Q3,QC,1899,6,235,14,381,1
1987_Q3,SK,149,0,6,0,80,0
1987_Q3,YT,0,0,0,0,0,0
1987_Q4,AB,736,4,28,0,229,0
1987_Q4,BC,748,6,44,1,235,2
1987_Q4,CAN,6068,68,554,36,1378,12
1987_Q4,MB,229,3,19,0,48,1
1987_Q4,NB,46,4,4,0,14,3
1987_Q4,NL,54,0,7,1,6,0
1987_Q4,NS,219,3,7,0,38,0
1987_Q4,NT,0,0,0,0,0,0
1987_Q4,ON,1866,41,122,10,292,2
1987_Q4,PE,0,0,1,0,1,0
1987_Q4,QC,1991,6,310,24,439,4
1987_Q4,SK,179,1,12,0,76,0
1987_Q4,YT,0,0,0,0,0,0
1988_Q1,AB,727,6,24,0,243,0
1988_Q1,BC,720,2,44,7,313,4
1988_Q1,CAN,6700,84,584,34,1627,15
1988_Q1,MB,264,3,13,1,57,2
1988_Q1,NB,63,5,5,0,12,1
1988_Q1,NL,56,0,9,1,11,0
1988_Q1,NS,279,3,13,1,34,1
1988_Q1,NT,0,0,0,0,0,0
1988_Q1,ON,1919,48,115,4,352,2
1988_Q1,PE,9,3,2,1,2,0
1988_Q1,QC,2463,14,347,19,481,5
1988_Q1,SK,200,0,12,0,122,0
1988_Q1,YT,0,0,0,0,0,0
1988_Q2,AB,669,2,22,0,208,3
1988_Q2,BC,680,1,37,1,269,7
1988_Q2,CAN,6345,78,497,21,1439,18
1988_Q2,MB,255,1,4,0,56,1
1988_Q2,NB,56,3,5,0,14,0
1988_Q2,NL,62,0,3,0,5,0
1988_Q2,NS,291,2,6,1,43,0
1988_Q2,NT,0,0,0,0,0,0
1988_Q2,ON,1852,60,113,5,316,2
1988_Q2,PE,11,0,1,0,0,0
1988_Q2,QC,2286,9,293,14,437,5
1988_Q2,SK,183,0,13,0,91,0
1988_Q2,YT,0,0,0,0,0,0
1988_Q3,AB,598,0,16,1,211,0
1988_Q3,BC,607,6,49,2,231,1
1988_Q3,CAN,6232,67,553,29,1435,10
1988_Q3,MB,255,4,7,0,62,1
1988_Q3,NB,50,0,5,1,20,0
1988_Q3,NL,55,0,1,0,7,0
1988_Q3,NS,270,2,14,0,37,1
1988_Q3,NT,0,0,0,0,0,0
1988_Q3,ON,1902,46,129,7,324,2
1988_Q3,PE,18,0,0,0,1,0
1988_Q3,QC,2272,9,323,18,429,5
1988_Q3,SK,205,0,9,0,113,0
1988_Q3,YT,0,0,0,0,0,0
1988_Q4,AB,557,1,34,3,229,0
1988_Q4,BC,551,3,34,5,216,4
1988_Q4,CAN,6546,96,629,39,1382,12
1988_Q4,MB,297,3,10,0,69,1
1988_Q4,NB,75,2,2,0,16,0
1988_Q4,NL,44,0,2,0,9,0
1988_Q4,NS,204,0,8,0,50,1
1988_Q4,NT,0,0,0,0,0,0
1988_Q4,ON,1854,82,137,9,272,1
1988_Q4,PE,15,0,0,0,3,0
1988_Q4,QC,2764,5,394,22,425,5
1988_Q4,SK,185,0,8,0,93,0
1988_Q4,YT,0,0,0,0,0,0
1989_Q1,AB,561,0,19,1,222,0
1989_Q1,BC,625,3,43,6,260,2
1989_Q1,CAN,6751,84,655,29,1530,10
1989_Q1,MB,309,1,15,1,69,0
1989_Q1,NB,56,5,5,0,19,1
1989_Q1,NL,32,0,3,0,8,0
1989_Q1,NS,217,2,10,1,75,0
1989_Q1,NT,0,0,0,0,0,0
1989_Q1,ON,1952,60,139,6,287,2
1989_Q1,PE,10,0,1,0,1,0
1989_Q1,QC,2765,13,411,14,462,4
1989_Q1,SK,224,0,9,0,127,1
1989_Q1,YT,0,0,0,0,0,0
1989_Q2,AB,657,1,31,2,246,0
1989_Q2,BC,574,4,33,7,271,2
1989_Q2,CAN,7094,69,594,42,1615,7
1989_Q2,MB,358,2,17,1,75,1
1989_Q2,NB,74,0,6,0,20,0
1989_Q2,NL,70,0,3,0,15,0
1989_Q2,NS,279,0,13,0,67,0
1989_Q2,NT,0,0,0,0,0,0
1989_Q2,ON,2188,57,129,8,288,1
1989_Q2,PE,6,0,0,0,2,0
1989_Q2,QC,2611,5,352,24,494,3
1989_Q2,SK,277,0,10,0,137,0
1989_Q2,YT,0,0,0,0,0,0
1989_Q3,AB,641,0,18,5,204,0
1989_Q3,BC,596,1,30,1,164,0
1989_Q3,CAN,7206,98,564,37,1402,9
1989_Q3,MB,385,1,9,2,86,0
1989_Q3,NB,61,3,1,0,16,0
1989_Q3,NL,75,0,3,0,11,1
1989_Q3,NS,299,0,11,1,51,2
1989_Q3,NT,0,0,0,0,0,0
1989_Q3,ON,2201,89,127,7,271,1
1989_Q3,PE,5,0,0,0,2,0
1989_Q3,QC,2688,4,351,21,487,5
1989_Q3,SK,255,0,14,0,110,0
1989_Q3,YT,0,0,0,0,0,0
1989_Q4,AB,749,4,24,1,224,0
1989_Q4,BC,626,7,32,3,219,0
1989_Q4,CAN,8104,107,694,56,1681,9
1989_Q4,MB,366,3,11,1,110,2
1989_Q4,NB,76,0,8,0,17,0
1989_Q4,NL,78,3,4,0,16,0
1989_Q4,NS,339,2,5,1,57,0
1989_Q4,NT,0,0,0,0,0,0
1989_Q4,ON,2529,74,172,12,273,3
1989_Q4,PE,6,0,0,0,0,0
1989_Q4,QC,3079,13,421,38,633,4
1989_Q4,SK,255,1,17,0,131,0
1989_Q4,YT,1,0,0,0,1,0
1990_Q1,AB,768,2,27,0,260,1
1990_Q1,BC,653,6,41,4,246,6
